pays,code_pays,annee,population
Afghanistan,2,2012,29825000
Afghanistan,2,2013,30552000
Afrique du Sud,202,2012,52386000
Afrique du Sud,202,2013,52776000
Albanie,3,2012,3162000
Albanie,3,2013,3173000
Algérie,4,2012,38482000
Algérie,4,2013,39208000
Allemagne,79,2012,82800000
Allemagne,79,2013,82727000
Angola,7,2012,20821000
Angola,7,2013,21472000
Antigua-et-Barbuda,8,2012,89000
Antigua-et-Barbuda,8,2013,90000
Arabie saoudite,194,2012,28288000
Arabie saoudite,194,2013,28829000
Argentine,9,2012,41087000
Argentine,9,2013,41446000
Arménie,1,2012,2969000
Arménie,1,2013,2977000
Australie,10,2012,23050000
Australie,10,2013,23343000
Autriche,11,2012,8464000
Autriche,11,2013,8495000
Azerbaïdjan,52,2012,9309000
Azerbaïdjan,52,2013,9413000
Bahamas,12,2012,372000
Bahamas,12,2013,377000
Bangladesh,16,2012,154695000
Bangladesh,16,2013,156595000
Barbade,14,2012,283000
Barbade,14,2013,285000
Belgique,255,2012,11060000
Belgique,255,2013,11104000
Belize,23,2012,324000
Belize,23,2013,332000
Bermudes,17,2012,65000
Bermudes,17,2013,65000
Bolivie (État plurinational de),19,2012,10496000
Bolivie (État plurinational de),19,2013,10671000
Bosnie-Herzégovine,80,2012,3834000
Bosnie-Herzégovine,80,2013,3829000
Botswana,20,2012,2004000
Botswana,20,2013,2021000
Brunéi Darussalam,26,2012,412000
Brunéi Darussalam,26,2013,418000
Brésil,21,2012,198656000
Brésil,21,2013,200362000
Bulgarie,27,2012,7278000
Bulgarie,27,2013,7223000
Burkina Faso,233,2012,16460000
Burkina Faso,233,2013,16935000
Bélarus,57,2012,9405000
Bélarus,57,2013,9357000
Bénin,53,2012,10051000
Bénin,53,2013,10323000
Cabo Verde,35,2012,494000
Cabo Verde,35,2013,499000
Cambodge,115,2012,14865000
Cambodge,115,2013,15135000
Cameroun,32,2012,21700000
Cameroun,32,2013,22254000
Canada,33,2012,34838000
Canada,33,2013,35182000
Chili,40,2012,17465000
Chili,40,2013,17620000
Chine,351,2012,1408042000
Chine,351,2013,1416667000
Chine - RAS de Hong-Kong,96,2012,7148000
Chine - RAS de Hong-Kong,96,2013,7204000
Chine - RAS de Macao,128,2012,557000
Chine - RAS de Macao,128,2013,566000
"Chine, Taiwan Province de",214,2012,23272000
